species,label_idx,filepath,group,fold
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_220_aug.jpg,Delichon urbicum,4
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_221_aug.jpg,Emberiza calandra,3
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_222_aug.jpg,Passer domesticus,3
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_223_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_224_aug.jpg,Streptopelia decaocto,4
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_225_aug.jpg,Columba livia,2
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_226_aug.jpg,Columba livia,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_227_aug.jpg,Carduelis carduelis,0
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_228_aug.jpg,Emberiza calandra,3
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_229_aug.jpg,Sturnus unicolor,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_22_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_230_aug.jpg,Carduelis carduelis,0
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_231_aug.jpg,Sturnus unicolor,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_232_aug.jpg,Carduelis carduelis,0
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_233_aug.jpg,Sturnus unicolor,2
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_234_aug.jpg,Emberiza calandra,3
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_235_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_236_aug.jpg,Streptopelia decaocto,4
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_237_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_238_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_239_aug.jpg,Carduelis carduelis,0
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_23_aug.jpg,Ciconia ciconia,1
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_240_aug.jpg,Hirundo rustica,0
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_241_aug.jpg,Ciconia ciconia,1
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_242_aug.jpg,Emberiza calandra,3
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_243_aug.jpg,Emberiza calandra,3
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_244_aug.jpg,Hirundo rustica,0
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_245_aug.jpg,Columba livia,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_246_aug.jpg,Sturnus unicolor,2
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_247_aug.jpg,Ciconia ciconia,1
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_248_aug.jpg,Ciconia ciconia,1
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_249_aug.jpg,Turdus merula,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_24_aug.jpg,Hirundo rustica,0
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_250_aug.jpg,Delichon urbicum,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_251_aug.jpg,Turdus merula,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_252_aug.jpg,Hirundo rustica,0
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_253_aug.jpg,Passer domesticus,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_254_aug.jpg,Columba livia,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_255_aug.jpg,Sturnus unicolor,2
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_256_aug.jpg,Columba livia,2
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_257_aug.jpg,Ciconia ciconia,1
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_258_aug.jpg,Hirundo rustica,0
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_259_aug.jpg,Delichon urbicum,4
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_25_aug.jpg,Delichon urbicum,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_260_aug.jpg,Streptopelia decaocto,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_261_aug.jpg,Passer domesticus,3
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_262_aug.jpg,Delichon urbicum,4
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_263_aug.jpg,Emberiza calandra,3
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_264_aug.jpg,Emberiza calandra,3
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_265_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_266_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_267_aug.jpg,Streptopelia decaocto,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_268_aug.jpg,Hirundo rustica,0
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_269_aug.jpg,Serinus serinus,1
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_26_aug.jpg,Serinus serinus,1
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_270_aug.jpg,Streptopelia decaocto,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_271_aug.jpg,Hirundo rustica,0
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_272_aug.jpg,Columba livia,2
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_273_aug.jpg,Hirundo rustica,0
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_274_aug.jpg,Delichon urbicum,4
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_275_aug.jpg,Columba livia,2
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_276_aug.jpg,Serinus serinus,1
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_277_aug.jpg,Delichon urbicum,4
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_278_aug.jpg,Hirundo rustica,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_279_aug.jpg,Carduelis carduelis,0
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_27_aug.jpg,Passer domesticus,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_280_aug.jpg,Ciconia ciconia,1
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_281_aug.jpg,Carduelis carduelis,0
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_282_aug.jpg,Sturnus unicolor,2
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_283_aug.jpg,Emberiza calandra,3
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_284_aug.jpg,Serinus serinus,1
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_285_aug.jpg,Columba livia,2
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_286_aug.jpg,Turdus merula,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_287_aug.jpg,Passer domesticus,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_288_aug.jpg,Columba livia,2
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_289_aug.jpg,Ciconia ciconia,1
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_28_aug.jpg,Serinus serinus,1
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_290_aug.jpg,Serinus serinus,1
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_291_aug.jpg,Passer domesticus,3
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_292_aug.jpg,Ciconia ciconia,1
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_293_aug.jpg,Sturnus unicolor,2
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_294_aug.jpg,Emberiza calandra,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_295_aug.jpg,Carduelis carduelis,0
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_296_aug.jpg,Turdus merula,4
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_297_aug.jpg,Ciconia ciconia,1
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_298_aug.jpg,Passer domesticus,3
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_299_aug.jpg,Streptopelia decaocto,4
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_29_aug.jpg,Columba livia,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_2_aug.jpg,Carduelis carduelis,0
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_300_aug.jpg,Turdus merula,4
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_301_aug.jpg,Columba livia,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_302_aug.jpg,Sturnus unicolor,2
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_303_aug.jpg,Passer domesticus,3
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_304_aug.jpg,Delichon urbicum,4
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_305_aug.jpg,Serinus serinus,1
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_306_aug.jpg,Columba livia,2
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_307_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_308_aug.jpg,Carduelis carduelis,0
Ciconia ciconia,1,Carduelis_carduelis/Carduelis_carduelis_309_aug.jpg,Ciconia ciconia,1
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_30_aug.jpg,Delichon urbicum,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_310_aug.jpg,Streptopelia decaocto,4
Delichon urbicum,3,Carduelis_carduelis/Carduelis_carduelis_311_aug.jpg,Delichon urbicum,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_312_aug.jpg,Streptopelia decaocto,4
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_313_aug.jpg,Turdus merula,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_314_aug.jpg,Sturnus unicolor,2
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_315_aug.jpg,Serinus serinus,1
Hirundo rustica,5,Carduelis_carduelis/Carduelis_carduelis_316_aug.jpg,Hirundo rustica,0
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_317_aug.jpg,Passer domesticus,3
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_318_aug.jpg,Passer domesticus,3
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_319_aug.jpg,Carduelis carduelis,0
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_31_aug.jpg,Sturnus unicolor,2
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_320_aug.jpg,Columba livia,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_321_aug.jpg,Sturnus unicolor,2
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_322_aug.jpg,Serinus serinus,1
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_323_aug.jpg,Sturnus unicolor,2
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_324_aug.jpg,Sturnus unicolor,2
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_325_aug.jpg,Streptopelia decaocto,4
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_326_aug.jpg,Carduelis carduelis,0
Carduelis carduelis,0,Carduelis_carduelis/Carduelis_carduelis_327_aug.jpg,Carduelis carduelis,0
Emberiza calandra,4,Carduelis_carduelis/Carduelis_carduelis_328_aug.jpg,Emberiza calandra,3
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_329_aug.jpg,Turdus merula,4
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_32_aug.jpg,Passer domesticus,3
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_330_aug.jpg,Serinus serinus,1
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_331_aug.jpg,Turdus merula,4
Sturnus unicolor,9,Carduelis_carduelis/Carduelis_carduelis_332_aug.jpg,Sturnus unicolor,2
Passer domesticus,6,Carduelis_carduelis/Carduelis_carduelis_333_aug.jpg,Passer domesticus,3
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_334_aug.jpg,Columba livia,2
Turdus merula,10,Carduelis_carduelis/Carduelis_carduelis_335_aug.jpg,Turdus merula,4
Streptopelia decaocto,8,Carduelis_carduelis/Carduelis_carduelis_336_aug.jpg,Streptopelia decaocto,4
Columba livia,2,Carduelis_carduelis/Carduelis_carduelis_337_aug.jpg,Columba livia,2
Serinus serinus,7,Carduelis_carduelis/Carduelis_carduelis_338_aug.jpg,Serinus serinus,1
